"perc025","perc975"
-2.856,10.370125
3.909375,18.006
1.314625,17.2
-3.99525,8.345125
1.54475,14.745125
0.64,17.8015
-3.730625,14.01025
-4.620125,6.725
-7.435125,3.11037499999999
-4.53025,8.100125
-0.200375,12.390375
-2.195375,12.3955
-3.885125,9.77037499999999
-3.155,14.96575
-4.87525,7.100125
-1.53525,12.6105
-9.47,-0.374875000000002
-4.790375,16.82575
1.749375,16.860125
-3.07025,13.13025
-2.435,10.9605
-3.985125,9.16
-5.115,8.11025
-6.84,3.315125
-0.66,13.730125
-3.060375,7.22025
-7.185,8.170125
-4.7955,7.05062499999999
-3.71025,7.505125
-4.775375,8.650125
-1.19025,11.895375
-3.605625,6.010125
-4.615625,5.180125
-1.81075,14.315125
-3.38025,8.010125
-7.270625,4.11537499999999
-3.385375,8.24
-3.745125,8.825
-8.445125,1.57074999999999
-6.26525,4.355
-2.000125,12.72525
-2.445,9.16525
-3.59525,8.130125
-5.940125,5.16037499999999
-0.77525,12.706
-4.960125,5.08025
0.814875,24.5955
5.534875,23.235625
-5.870125,4.15574999999999
-1.675125,13.551375
-5.965625,5.055125
-5.255,7.72587499999999
-5.79525,7.975
-3.005,9.87099999999998
-2.39,8.615
-1.63,10.910125
-6.750125,7.51549999999999
-5.57075,6.480375
0.634875,15.35025
-0.276874999999999,23.230875
0.374375,14.205375
-3.67525,8.73025
-4.57525,8.275
1.08975,15.555
-4.540125,7.48
-2.515375,12.350375
-3.335125,9.92025
-6.370125,5.25025
-2.730375,8.15025
-0.635125,11.745375
-4.49,7.29525
-3.86,7.09025
-1.77,8.71574999999999
-7.040625,5.43062499999999
-6.185,5.26537499999999
-3.430125,9.43025
-0.710125,26.0143749999999
-4.675,7.085
-1.990875,11.01
-2.475125,11.95025
-2.485,10.005375
-8.18525,1.62037499999999
-3.505375,9.130125
-1.390125,11.280125
-4.465375,9.71
-5.530125,5.68
-3.08,9.01025
-4.685,9.67025
-4.645375,6.59025
-4.6705,8.78037499999999
-7.930375,5.06537499999999
-1.555375,12.185125
-6.595125,3.905125
-4.78525,6.60074999999999
-0.205,14.11575
-4.205875,7.93025
-4.78525,8.01025
-6.945125,3.185
-0.735875,15.43525
-6.720125,3.605125
